"Date","Sensex","Tata Consultancy Services","Bharti Airtel","Axis Bank","Maruti Suzuki India","HCL Technologies","UltraTech Cement","Power Grid Corporation of India","NTPC","IndusInd Bank","Bajaj Auto","JSW Steel","Wipro","Adani Enterprises"
2021-09-22,58927.328125,3416.40112304688,688.548828125,783.7060546875,6586.51953125,1077.40209960938,7452.83544921875,104.21508026123,106.569770812988,1106.53137207031,3350.11938476562,624.19580078125,304.987457275391,1434.22790527344
2021-09-23,59885.359375,3421.88549804688,688.027709960938,807.513366699219,6601.615234375,1087.35070800781,7446.67578125,105.099998474121,108.026084899902,1132.88537597656,3390.26513671875,623.689453125,308.001922607422,1470.07971191406
2021-09-24,60048.46875,3424.185546875,700.344421386719,793.447692871094,6704.244140625,1111.66967773438,7357.70166015625,103.92008972168,106.526924133301,1126.44213867188,3397.35791015625,606.614074707031,309.052459716797,1457.31481933594
2021-09-27,60077.87890625,3393.802734375,697.703063964844,791.807495117188,7141.7666015625,1060.77990722656,7456.404296875,103.831596374512,108.754264831543,1116.55932617188,3491.34350585938,597.869323730469,298.752960205078,1525.82739257812
2021-09-28,59667.6015625,3342.54565429688,672.0283203125,784.252868652344,7156.33056640625,1039.24499511719,7418.81005859375,108.403732299805,113.037628173828,1097.85961914062,3486.92749023438,608.133056640625,292.153137207031,1482.49584960938
2021-09-29,59413.26953125,3353.69091796875,669.808410644531,776.797485351562,7119.77392578125,1048.90698242188,7300.7001953125,115.099685668945,120.404945373535,1088.70349121094,3477.69409179688,625.852722167969,292.724060058594,1482.04711914062
2021-09-30,59126.359375,3338.56518554688,664.210205078125,762.234619140625,7074.826171875,1047.26940917969,7230.69384765625,112.031959533691,121.518653869629,1077.56127929688,3419.03662109375,615.450927734375,289.732421875,1463.09899902344
2021-10-01,58765.578125,3298.58544921875,649.49072265625,763.924499511719,6905.64306640625,1042.68420410156,7320.64599609375,113.152839660645,119.805328369141,1068.69580078125,3439.24340820312,620.421752929688,290.554565429688,1454.22314453125
2021-10-04,59299.3203125,3335.55786132812,657.405456542969,774.014099121094,6923.96923828125,1047.02368164062,7346.84912109375,113.00537109375,124.688339233398,1084.77954101562,3413.416015625,626.957275390625,292.472839355469,1522.88537597656
2021-10-05,59744.87890625,3390.92749023438,674.924011230469,777.841247558594,6991.68115234375,1068.640625,7295.8115234375,111.972938537598,124.516998291016,1134.62939453125,3446.96020507812,625.208374023438,295.39599609375,1523.53369140625
